Core Based Statistical Area,Pollutant,Trend Statistic,2000_x,2001_x,2002_x,2003_x,2004_x,2005_x,2006_x,2007_x,2008_x,2009_x,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x,2016_x,2017_x,2018_x,2019_x,2020_x,2021,2022,State,2000_y,2001_y,2002_y,2003_y,2004_y,2005_y,2006_y,2007_y,2008_y,2009_y,2010_y,2011_y,2012_y,2013_y,2014_y,2015_y,2016_y,2017_y,2018_y,2019_y,2020_y
"Adrian, MI",O3,4th Max,0.082,0.086,0.089,0.088,0.074,0.082,0.074,0.081,0.072,0.067,0.066,0.076,0.087,0.064,0.068,0.065,0.069,0.066,0.071,0.059,0.067,0.066,0.065,MI,874.9,865.0,876.6,863.7,847.0,864.3,857.3,867.1,889.2,873.1,890.6,906.3,909.6,933.8,947.7,958.8,969.3,979.7,989.4,992.1,1175.0
"Akron, OH",O3,4th Max,0.085,0.096,0.1,0.09,0.079,0.091,0.074,0.087,0.075,0.067,0.074,0.073,0.072,0.059,0.06,0.065,0.06,0.066,0.068,0.062,0.063,0.067,0.07,OH,952.4,948.7,962.2,954.2,928.1,951.1,930.4,926.3,953.2,929.5,942.3,965.2,974.5,978.8,987.6,1017.7,1029.5,1060.6,1063.0,1058.4,1228.9
"Akron, OH",PM2.5,Weighted Annual Mean,16.2,16.2,16.0,14.1,13.8,15.7,12.8,14.1,12.9,11.7,12.4,11.1,10.0,9.7,9.9,10.4,8.2,7.9,7.9,8.2,7.9,8.0,7.1,OH,952.4,948.7,962.2,954.2,928.1,951.1,930.4,926.3,953.2,929.5,942.3,965.2,974.5,978.8,987.6,1017.7,1029.5,1060.6,1063.0,1058.4,1228.9
"Akron, OH",PM2.5,98th Percentile,37.0,44.0,40.0,34.0,35.0,43.0,31.0,31.0,33.0,26.0,32.0,25.0,19.0,24.0,22.0,23.0,17.0,18.0,18.0,21.0,21.0,20.0,17.0,OH,952.4,948.7,962.2,954.2,928.1,951.1,930.4,926.3,953.2,929.5,942.3,965.2,974.5,978.8,987.6,1017.7,1029.5,1060.6,1063.0,1058.4,1228.9
"Akron, OH",SO2,99th Percentile,163.0,132.0,145.0,167.0,172.0,140.0,138.0,46.0,34.0,31.0,27.0,24.0,22.0,23.0,21.0,14.0,8.0,3.0,6.0,3.0,4.0,5.0,6.0,OH,952.4,948.7,962.2,954.2,928.1,951.1,930.4,926.3,953.2,929.5,942.3,965.2,974.5,978.8,987.6,1017.7,1029.5,1060.6,1063.0,1058.4,1228.9
"Albany, GA",PM2.5,Weighted Annual Mean,16.6,14.6,13.8,13.4,14.1,14.6,14.9,15.0,12.8,11.8,12.3,12.1,10.6,10.0,10.3,9.0,8.7,9.4,8.4,9.3,9.1,10.1,8.3,GA,780.2,769.8,769.2,771.0,750.6,747.7,740.6,730.8,732.7,724.6,735.6,725.9,734.3,751.5,761.5,782.6,789.8,796.8,809.9,808.2,962.4
"Albany, GA",PM2.5,98th Percentile,38.0,36.0,31.0,27.0,36.0,35.0,35.0,43.0,32.0,32.0,30.0,29.0,25.0,26.0,23.0,21.0,20.0,25.0,22.0,20.0,22.0,30.0,17.0,GA,780.2,769.8,769.2,771.0,750.6,747.7,740.6,730.8,732.7,724.6,735.6,725.9,734.3,751.5,761.5,782.6,789.8,796.8,809.9,808.2,962.4
"Albany-Schenectady-Troy, NY",O3,4th Max,0.07,0.089,0.091,0.081,0.075,0.082,0.07,0.078,0.078,0.066,0.072,0.066,0.071,0.063,0.061,0.062,0.068,0.061,0.066,0.055,0.054,0.061,0.059,NY,833.7,834.5,826.2,812.9,796.4,796.7,778.9,771.9,774.0,758.7,755.7,766.4,761.3,768.0,759.4,776.1,781.7,782.7,804.3,803.8,1051.6
"Albany-Schenectady-Troy, NY",PM2.5,Weighted Annual Mean,12.4,12.3,12.1,11.9,11.0,12.6,9.3,10.1,9.5,8.3,7.9,8.8,7.6,7.1,7.2,7.8,6.3,6.9,7.5,7.0,7.8,7.5,6.7,NY,833.7,834.5,826.2,812.9,796.4,796.7,778.9,771.9,774.0,758.7,755.7,766.4,761.3,768.0,759.4,776.1,781.7,782.7,804.3,803.8,1051.6
"Albany-Schenectady-Troy, NY",PM2.5,98th Percentile,30.0,31.0,33.0,34.0,32.0,36.0,31.0,31.0,26.0,23.0,24.0,24.0,18.0,20.0,19.0,20.0,18.0,15.0,19.0,18.0,23.0,18.0,17.0,NY,833.7,834.5,826.2,812.9,796.4,796.7,778.9,771.9,774.0,758.7,755.7,766.4,761.3,768.0,759.4,776.1,781.7,782.7,804.3,803.8,1051.6
"Albany-Schenectady-Troy, NY",SO2,99th Percentile,56.0,67.0,34.0,42.0,39.0,25.0,21.0,20.0,22.0,18.0,14.0,15.0,9.0,9.0,8.0,7.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,NY,833.7,834.5,826.2,812.9,796.4,796.7,778.9,771.9,774.0,758.7,755.7,766.4,761.3,768.0,759.4,776.1,781.7,782.7,804.3,803.8,1051.6
"Albuquerque, NM",CO,2nd Max,3.3,2.9,2.8,2.1,2.2,2.0,2.0,1.6,1.2,1.1,1.1,1.3,1.6,0.9,1.2,1.4,1.2,1.0,1.0,1.0,0.9,0.8,0.9,NM,738.0,771.4,773.1,788.5,751.0,775.4,779.6,778.0,796.0,768.0,773.7,790.1,801.2,805.9,842.9,848.2,882.5,894.3,907.1,930.5,1130.3
"Albuquerque, NM",NO2,Annual Mean,17.0,17.0,19.0,18.0,17.0,16.0,15.0,15.0,13.0,12.0,12.0,13.0,14.0,12.0,12.0,11.0,10.0,10.0,10.0,9.0,8.0,8.0,9.0,NM,738.0,771.4,773.1,788.5,751.0,775.4,779.6,778.0,796.0,768.0,773.7,790.1,801.2,805.9,842.9,848.2,882.5,894.3,907.1,930.5,1130.3
"Albuquerque, NM",NO2,98th Percentile,54.0,54.0,57.0,55.0,52.0,51.0,53.0,64.0,65.0,48.0,53.0,50.0,49.0,45.0,42.0,43.0,44.0,45.0,45.0,44.0,41.0,44.0,44.0,NM,738.0,771.4,773.1,788.5,751.0,775.4,779.6,778.0,796.0,768.0,773.7,790.1,801.2,805.9,842.9,848.2,882.5,894.3,907.1,930.5,1130.3
"Albuquerque, NM",O3,4th Max,0.072,0.071,0.074,0.076,0.071,0.073,0.071,0.069,0.064,0.063,0.066,0.069,0.07,0.067,0.062,0.066,0.065,0.069,0.074,0.067,0.071,0.071,0.071,NM,738.0,771.4,773.1,788.5,751.0,775.4,779.6,778.0,796.0,768.0,773.7,790.1,801.2,805.9,842.9,848.2,882.5,894.3,907.1,930.5,1130.3
"Albuquerque, NM",PM10,2nd Max,83.5,86.5,97.5,164.5,118.0,109.5,128.0,89.0,83.5,70.0,73.0,110.0,161.0,106.0,129.0,75.0,125.0,86.0,144.5,95.0,208.0,153.0,274.5,NM,738.0,771.4,773.1,788.5,751.0,775.4,779.6,778.0,796.0,768.0,773.7,790.1,801.2,805.9,842.9,848.2,882.5,894.3,907.1,930.5,1130.3
"Albuquerque, NM",PM2.5,Weighted Annual Mean,6.6,6.4,6.3,6.9,6.8,7.0,7.6,6.7,5.9,5.5,5.3,6.9,7.4,5.7,6.4,6.6,5.4,5.6,5.1,6.0,6.3,6.7,6.4,NM,738.0,771.4,773.1,788.5,751.0,775.4,779.6,778.0,796.0,768.0,773.7,790.1,801.2,805.9,842.9,848.2,882.5,894.3,907.1,930.5,1130.3
"Albuquerque, NM",PM2.5,98th Percentile,20.0,19.0,18.0,17.0,19.0,19.0,18.0,18.0,14.0,13.0,15.0,40.0,25.0,16.0,18.0,21.0,18.0,15.0,15.0,15.0,18.0,16.0,14.0,NM,738.0,771.4,773.1,788.5,751.0,775.4,779.6,778.0,796.0,768.0,773.7,790.1,801.2,805.9,842.9,848.2,882.5,894.3,907.1,930.5,1130.3
"Altoona, PA",O3,4th Max,0.08,0.083,0.089,0.083,0.073,0.077,0.071,0.071,0.075,0.065,0.072,0.074,0.08,0.065,0.06,0.069,0.062,0.063,0.064,0.064,0.063,0.061,0.062,PA,1065.2,1054.8,1056.1,1048.7,1028.5,1040.4,1003.4,995.7,1010.6,985.1,980.9,1006.3,994.9,1010.8,1004.4,1035.7,1040.7,1059.4,1051.8,1046.6,1216.8
